Dejounte Murray,28,77,ATL,G,5,https://www.basketball-reference.com/req/202106291/images/headshots/murrade01.jpg
Bogdan Bogdanovic,32,77,ATL,G,13,https://www.basketball-reference.com/req/202106291/images/headshots/bogdabo01.jpg
Saddiq Bey,25,79,ATL,F,41,https://www.basketball-reference.com/req/202106291/images/headshots/beysa01.jpg
Clint Capela,30,82,ATL,C,15,https://www.basketball-reference.com/req/202106291/images/headshots/capelca01.jpg
Onyeka Okongwu,24,80,ATL,C,17,https://www.basketball-reference.com/req/202106291/images/headshots/okongon01.jpg
Trae Young,26,73,ATL,G,11,https://www.basketball-reference.com/req/202106291/images/headshots/youngtr01.jpg
Garrison Mathews,28,77,ATL,G,25,https://www.basketball-reference.com/req/202106291/images/headshots/mathega01.jpg
Jalen Johnson,23,81,ATL,F,1,https://www.basketball-reference.com/req/202106291/images/headshots/johnsja05.jpg
De'Andre Hunter,27,80,ATL,F,12,https://www.basketball-reference.com/req/202106291/images/headshots/huntede01.jpg
Bruno Fernando,26,81,ATL,C,24,https://www.basketball-reference.com/req/202106291/images/headshots/fernabr01.jpg
Trent Forrest,26,76,ATL,G,2,https://www.basketball-reference.com/req/202106291/images/headshots/forretr01.jpg
Wesley Matthews,38,77,ATL,G,32,https://www.basketball-reference.com/req/202106291/images/headshots/matthwe02.jpg
AJ Griffin,21,78,ATL,F,14,https://www.basketball-reference.com/req/202106291/images/headshots/griffaj01.jpg
Kobe Bufkin,21,76,ATL,G,4,https://www.basketball-reference.com/req/202106291/images/headshots/bufkiko01.jpg
Seth Lundy,24,78,ATL,F,3,https://www.basketball-reference.com/req/202106291/images/headshots/lundyse01.jpg
Vit Krejci,24,80,ATL,G,27,https://www.basketball-reference.com/req/202106291/images/headshots/krejcvi01.jpg
Mouhamed Gueye,22,83,ATL,F,18,https://www.basketball-reference.com/req/202106291/images/headshots/gueyemo02.jpg
Dylan Windler,28,78,ATL,F,20,https://www.basketball-reference.com/req/202106291/images/headshots/windldy01.jpg
Payton Pritchard,26,73,BOS,G,11,https://www.basketball-reference.com/req/202106291/images/headshots/pritcpa01.jpg
